case,CSF_DSC,GM_DSC,WM_DSC,Avg_DSC,CSF_HD,GM_HD,WM_HD,Avg_HD,AVD
IBSR_11,0.9047730572860555,0.9288857885725157,0.9410799138436581,0.9249129199007431,1.0,1.0,1.0,1.0,0.051593490307821614
IBSR_12,0.9204822587847353,0.9303421437441143,0.9348698976615212,0.9285647667301236,1.4142135623730951,1.4142135623730951,1.0,1.2761423749153968,0.02849460305739672
IBSR_13,0.8918654946281568,0.9389390204603743,0.9216792781361971,0.9174945977415762,1.0,1.7320508075688772,1.0,1.2440169358562925,0.0528041801394488
IBSR_14,0.9316278904051021,0.9470103236230791,0.9387712099216117,0.939136474649931,1.0,1.4142135623730951,1.0,1.1380711874576983,0.027246077549094937
IBSR_17,0.9403763408879107,0.9415872433563279,0.9202898629393405,0.9340844823945263,1.0,1.4142135623730951,1.4142135623730951,1.2761423749153966,0.011502049586820872
