ds_csf,ds_gm,ds_wm,avg_dsc,avd,hd_csf,hd_gm,hd_wm,hd_avg,weight_by,power,case,em
0.7264904187366927,0.8271713953433092,0.8177468464549804,0.7904695535116608,0.11943761544995708,48.83646178829912,10.344080432788601,8.306623862918075,22.495722028001932,,3,IBSR_11,No
0.6527446752165853,0.8202004470497799,0.7984810993882677,0.7571420738848776,0.11682636322578921,47.97916214358062,8.660254037844387,10.099504938362077,22.246307039929032,,3,IBSR_12,No
0.7086357837314681,0.8577060106193803,0.7889286380687046,0.785090144139851,0.07519987953939462,48.590122453025366,10.677078252031311,12.083045973594572,23.783415559550416,,3,IBSR_13,No
0.8020232073787563,0.8672092943722732,0.7955319876556944,0.8215881631355747,0.04230243354319576,58.39520528262573,11.874342087037917,10.63014581273465,26.96656439413277,,3,IBSR_17,No
0.7605260475073912,0.8620004123651624,0.8213036725015918,0.814610044124715,0.05878046045296442,49.53786430600334,8.774964387392123,9.433981132056603,22.58226994181736,,3,IBSR_14,No
0.7240529438612505,0.8260468138825906,0.8207040142214702,0.790267923988437,0.09677009784313638,48.83646178829912,9.848857801796104,8.246211251235321,22.310510280443513,mattes_mi,3,IBSR_11,No
0.6348487804878049,0.8169521561348291,0.7980004264335496,0.7499337876853946,0.11870255108142029,47.97916214358062,8.660254037844387,8.94427190999916,21.861229363808054,mattes_mi,3,IBSR_12,No
0.7128977627239504,0.8575519098755611,0.7886374269099865,0.786362366503166,0.07527418965309887,48.590122453025366,10.677078252031311,14.52583904633395,24.59767991713021,mattes_mi,3,IBSR_13,No
0.7990160096811951,0.8684304911756794,0.796148277640499,0.8211982594991246,0.04230243354319576,58.39520528262573,11.874342087037917,10.63014581273465,26.96656439413277,mattes_mi,3,IBSR_17,No
0.7590048527099993,0.8614051455021708,0.8206222524561709,0.8136774168894471,0.05688422687702564,49.53786430600334,8.54400374531753,9.219544457292887,22.433804169537922,mattes_mi,3,IBSR_14,No
0.6377645190367859,0.7719954432013486,0.7713086660251959,0.7270228760877768,0.0765430406428793,48.83646178829912,10.816653826391969,7.810249675906654,22.48778843019925,joint_hist_mi,3,IBSR_11,No
0.6347273863972887,0.7634573090741666,0.7229933894797365,0.7070593616503972,0.10779604816322834,47.97916214358062,12.36931687685298,10.198039027185569,23.515506015873058,joint_hist_mi,3,IBSR_12,No
0.6825592885375494,0.8321165811344747,0.7467323339148693,0.7538027345289645,0.1291548886766053,48.590122453025366,10.677078252031311,10.246950765959598,23.17138382367209,joint_hist_mi,3,IBSR_13,No
0.8037042717999847,0.8635938243729786,0.7872139870143025,0.8181706943957553,0.04230243354319576,58.39520528262573,11.180339887498949,8.774964387392123,26.116836519172267,joint_hist_mi,3,IBSR_17,No
0.6927637870576985,0.8330954193295815,0.7782787452985287,0.7680459838952696,0.05688422687702564,49.53786430600334,9.0,7.3484692283495345,21.962111178117624,joint_hist_mi,3,IBSR_14,No
0.7240781307046368,0.8260570462798664,0.8206716558706999,0.7902689442850677,0.0970914476020117,48.83646178829912,9.848857801796104,8.246211251235321,22.310510280443513,correlation,3,IBSR_11,No
0.639527197791516,0.8168347941962562,0.7981513552901484,0.7515044490926401,0.11848428170217606,47.97916214358062,8.660254037844387,8.94427190999916,21.861229363808054,correlation,3,IBSR_12,No
0.7131776034236804,0.8577163510876258,0.7885987735668416,0.7864975760260493,0.07422602594400733,48.590122453025366,10.677078252031311,11.575836902790225,23.614345869282303,correlation,3,IBSR_13,No
0.799578980815824,0.8686352964905008,0.7964156116525779,0.8215432963196343,0.04230243354319576,58.39520528262573,11.874342087037917,10.63014581273465,26.96656439413277,correlation,3,IBSR_17,No
0.7586088626697763,0.8614672602933418,0.820382041716081,0.8134860548930662,0.05767386080014384,49.53786430600334,8.54400374531753,9.219544457292887,22.433804169537922,correlation,3,IBSR_14,No
0.7219512195121951,0.8259472616920754,0.8200401214518127,0.7893128675520278,0.09881280365305013,48.83646178829912,9.848857801796104,8.12403840463596,22.26978599824373,mse,3,IBSR_11,No
0.6467088998763906,0.8167596412420305,0.7976488498251961,0.7537057969812057,0.11809186122247106,47.97916214358062,8.48528137423857,8.94427190999916,21.802905142606118,mse,3,IBSR_12,No
0.711781932867763,0.8590391022998985,0.7895666248533161,0.7867958866736592,0.06662097246516957,48.590122453025366,10.677078252031311,11.575836902790225,23.614345869282303,mse,3,IBSR_13,No
0.7998967618971987,0.8706264972100591,0.7977568975504886,0.8227600522192487,0.04230243354319576,58.39520528262573,11.874342087037917,9.695359714832659,26.65496902816544,mse,3,IBSR_17,No
0.7552485810025302,0.8611434853406733,0.818917516906603,0.811769861083269,0.0614125735300251,49.53786430600334,8.54400374531753,8.602325267042627,22.2280644394545,mse,3,IBSR_14,No
